image_path,filename,wnid,label
tiny-imagenet-200/val/images/val_6.JPEG,val_6.JPEG,n04179913,sewing machine
tiny-imagenet-200/val/images/val_9.JPEG,val_9.JPEG,n02226429,"grasshopper, hopper"
tiny-imagenet-200/val/images/val_18.JPEG,val_18.JPEG,n04285008,"sports car, sport car"
tiny-imagenet-200/val/images/val_27.JPEG,val_27.JPEG,n04371430,"swimming trunks, bathing trunks"
tiny-imagenet-200/val/images/val_35.JPEG,val_35.JPEG,n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM"
tiny-imagenet-200/val/images/val_42.JPEG,val_42.JPEG,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
tiny-imagenet-200/val/images/val_43.JPEG,val_43.JPEG,n02231487,"walking stick, walkingstick, stick insect"
tiny-imagenet-200/val/images/val_53.JPEG,val_53.JPEG,n01917289,brain coral
tiny-imagenet-200/val/images/val_58.JPEG,val_58.JPEG,n02793495,barn
tiny-imagenet-200/val/images/val_90.JPEG,val_90.JPEG,n02948072,"candle, taper, wax light"
tiny-imagenet-200/val/images/val_96.JPEG,val_96.JPEG,n02123045,"tabby, tabby cat"
tiny-imagenet-200/val/images/val_106.JPEG,val_106.JPEG,n09193705,alp
tiny-imagenet-200/val/images/val_117.JPEG,val_117.JPEG,n03355925,"flagpole, flagstaff"
tiny-imagenet-200/val/images/val_128.JPEG,val_128.JPEG,n04067472,reel
tiny-imagenet-200/val/images/val_152.JPEG,val_152.JPEG,n02113799,standard poodle
tiny-imagenet-200/val/images/val_158.JPEG,val_158.JPEG,n03355925,"flagpole, flagstaff"
tiny-imagenet-200/val/images/val_166.JPEG,val_166.JPEG,n07695742,pretzel
tiny-imagenet-200/val/images/val_188.JPEG,val_188.JPEG,n02233338,"cockroach, roach"
tiny-imagenet-200/val/images/val_200.JPEG,val_200.JPEG,n02437312,"Arabian camel, dromedary, Camelus dromedarius"
tiny-imagenet-200/val/images/val_207.JPEG,val_207.JPEG,n03796401,moving van
tiny-imagenet-200/val/images/val_224.JPEG,val_224.JPEG,n01917289,brain coral
tiny-imagenet-200/val/images/val_231.JPEG,val_231.JPEG,n03662601,lifeboat
tiny-imagenet-200/val/images/val_241.JPEG,val_241.JPEG,n02113799,standard poodle
tiny-imagenet-200/val/images/val_251.JPEG,val_251.JPEG,n04067472,reel
tiny-imagenet-200/val/images/val_282.JPEG,val_282.JPEG,n01917289,brain coral
tiny-imagenet-200/val/images/val_317.JPEG,val_317.JPEG,n03250847,drumstick
tiny-imagenet-200/val/images/val_319.JPEG,val_319.JPEG,n02883205,"bow tie, bow-tie, bowtie"
tiny-imagenet-200/val/images/val_320.JPEG,val_320.JPEG,n03544143,hourglass
tiny-imagenet-200/val/images/val_333.JPEG,val_333.JPEG,n04356056,"sunglasses, dark glasses, shades"
tiny-imagenet-200/val/images/val_339.JPEG,val_339.JPEG,n02123394,Persian cat
tiny-imagenet-200/val/images/val_344.JPEG,val_344.JPEG,n04597913,wooden spoon
tiny-imagenet-200/val/images/val_387.JPEG,val_387.JPEG,n02233338,"cockroach, roach"
tiny-imagenet-200/val/images/val_400.JPEG,val_400.JPEG,n03649909,"lawn mower, mower"
tiny-imagenet-200/val/images/val_406.JPEG,val_406.JPEG,n07614500,"ice cream, icecream"
tiny-imagenet-200/val/images/val_409.JPEG,val_409.JPEG,n04507155,umbrella
tiny-imagenet-200/val/images/val_420.JPEG,val_420.JPEG,n04179913,sewing machine
tiny-imagenet-200/val/images/val_423.JPEG,val_423.JPEG,n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus"
tiny-imagenet-200/val/images/val_434.JPEG,val_434.JPEG,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
tiny-imagenet-200/val/images/val_441.JPEG,val_441.JPEG,n03400231,"frying pan, frypan, skillet"
tiny-imagenet-200/val/images/val_444.JPEG,val_444.JPEG,n04251144,snorkel
tiny-imagenet-200/val/images/val_452.JPEG,val_452.JPEG,n04356056,"sunglasses, dark glasses, shades"
tiny-imagenet-200/val/images/val_470.JPEG,val_470.JPEG,n01917289,brain coral
tiny-imagenet-200/val/images/val_472.JPEG,val_472.JPEG,n02909870,"bucket, pail"
tiny-imagenet-200/val/images/val_475.JPEG,val_475.JPEG,n02802426,basketball
tiny-imagenet-200/val/images/val_488.JPEG,val_488.JPEG,n02190166,fly
tiny-imagenet-200/val/images/val_508.JPEG,val_508.JPEG,n04008634,"projectile, missile"
tiny-imagenet-200/val/images/val_514.JPEG,val_514.JPEG,n01770393,scorpion
tiny-imagenet-200/val/images/val_520.JPEG,val_520.JPEG,n01950731,"sea slug, nudibranch"
tiny-imagenet-200/val/images/val_525.JPEG,val_525.JPEG,n04275548,"spider web, spider's web"
tiny-imagenet-200/val/images/val_534.JPEG,val_534.JPEG,n07871810,"meat loaf, meatloaf"
tiny-imagenet-200/val/images/val_588.JPEG,val_588.JPEG,n07749582,lemon
tiny-imagenet-200/val/images/val_590.JPEG,val_590.JPEG,n12267677,acorn
tiny-imagenet-200/val/images/val_601.JPEG,val_601.JPEG,n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM"
tiny-imagenet-200/val/images/val_606.JPEG,val_606.JPEG,n03179701,desk
tiny-imagenet-200/val/images/val_626.JPEG,val_626.JPEG,n02504458,"African elephant, Loxodonta africana"
tiny-imagenet-200/val/images/val_634.JPEG,val_634.JPEG,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
tiny-imagenet-200/val/images/val_651.JPEG,val_651.JPEG,n01443537,"goldfish, Carassius auratus"
tiny-imagenet-200/val/images/val_653.JPEG,val_653.JPEG,n01443537,"goldfish, Carassius auratus"
tiny-imagenet-200/val/images/val_659.JPEG,val_659.JPEG,n02841315,"binoculars, field glasses, opera glasses"
tiny-imagenet-200/val/images/val_672.JPEG,val_672.JPEG,n03100240,convertible
tiny-imagenet-200/val/images/val_685.JPEG,val_685.JPEG,n04465501,tractor
tiny-imagenet-200/val/images/val_711.JPEG,val_711.JPEG,n02927161,"butcher shop, meat market"
tiny-imagenet-200/val/images/val_715.JPEG,val_715.JPEG,n03796401,moving van
tiny-imagenet-200/val/images/val_722.JPEG,val_722.JPEG,n03599486,"jinrikisha, ricksha, rickshaw"
tiny-imagenet-200/val/images/val_727.JPEG,val_727.JPEG,n02281406,"sulphur butterfly, sulfur butterfly"
tiny-imagenet-200/val/images/val_745.JPEG,val_745.JPEG,n03089624,"confectionery, confectionary, candy store"
tiny-imagenet-200/val/images/val_750.JPEG,val_750.JPEG,n02802426,basketball
tiny-imagenet-200/val/images/val_757.JPEG,val_757.JPEG,n03837869,obelisk
tiny-imagenet-200/val/images/val_771.JPEG,val_771.JPEG,n07768694,pomegranate
tiny-imagenet-200/val/images/val_821.JPEG,val_821.JPEG,n02074367,"dugong, Dugong dugon"
tiny-imagenet-200/val/images/val_822.JPEG,val_822.JPEG,n01742172,"boa constrictor, Constrictor constrictor"
tiny-imagenet-200/val/images/val_823.JPEG,val_823.JPEG,n02094433,Yorkshire terrier
tiny-imagenet-200/val/images/val_828.JPEG,val_828.JPEG,n02504458,"African elephant, Loxodonta africana"
tiny-imagenet-200/val/images/val_832.JPEG,val_832.JPEG,n04398044,teapot
tiny-imagenet-200/val/images/val_841.JPEG,val_841.JPEG,n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish"
tiny-imagenet-200/val/images/val_845.JPEG,val_845.JPEG,n03838899,"oboe, hautboy, hautbois"
tiny-imagenet-200/val/images/val_853.JPEG,val_853.JPEG,n02099601,golden retriever
tiny-imagenet-200/val/images/val_878.JPEG,val_878.JPEG,n04486054,triumphal arch
tiny-imagenet-200/val/images/val_887.JPEG,val_887.JPEG,n04560804,water jug
tiny-imagenet-200/val/images/val_888.JPEG,val_888.JPEG,n02281406,"sulphur butterfly, sulfur butterfly"
tiny-imagenet-200/val/images/val_893.JPEG,val_893.JPEG,n02669723,"academic gown, academic robe, judge's robe"
tiny-imagenet-200/val/images/val_916.JPEG,val_916.JPEG,n04507155,umbrella
tiny-imagenet-200/val/images/val_931.JPEG,val_931.JPEG,n02085620,Chihuahua
